,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryAddition,YearlyHollidayDays,DrivingKilometers
0,Yes,41.0,Travel_Rarely,1102.0,Sales,1.0,2,Life Sciences,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,8.0,Y,Yes,11.0,3.0,1.0,80.0,0,8.0,0.0,1.0,6.0,4.0,,5.0,792.8030500038258,10.0,
1,No,49.0,Travel_Frequently,279.0,Research & Development,8.0,1,Life Sciences,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,Y,No,23.0,4.0,4.0,80.0,1,10.0,3.0,3.0,10.0,7.0,1.0,7.0,1199.8486532836805,,
2,Yes,37.0,Travel_Rarely,1373.0,Research & Development,2.0,2,Other,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Y,Yes,15.0,3.0,2.0,80.0,0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1366.6206301324476,,
3,No,33.0,Travel_Frequently,1392.0,Research & Development,3.0,4,Life Sciences,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,1770.8401253976472,10.0,0.6401624864367208
4,No,27.0,Travel_Rarely,591.0,Research & Development,2.0,1,Medical,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,Y,No,12.0,3.0,4.0,80.0,1,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1043.414892792573,10.0,2.1224648552814194
5,No,32.0,Travel_Frequently,1005.0,Research & Development,2.0,2,Life Sciences,4.0,Male,79.0,3.0,1.0,Laboratory Technician,4.0,Single,3068.0,11864.0,0.0,Y,No,13.0,3.0,3.0,80.0,0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,1095.8168734713493,15.0,
6,No,59.0,Travel_Rarely,1324.0,Research & Development,3.0,3,Medical,3.0,Female,81.0,4.0,1.0,Laboratory Technician,1.0,Married,2670.0,9964.0,4.0,Y,Yes,20.0,4.0,1.0,80.0,3,12.0,3.0,2.0,1.0,0.0,0.0,0.0,,,1.993444673938157
7,No,30.0,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2693.0,13335.0,1.0,Y,No,22.0,4.0,2.0,80.0,1,1.0,2.0,3.0,1.0,0.0,0.0,0.0,725.0592106385886,22.0,
8,No,38.0,Travel_Frequently,216.0,Research & Development,23.0,3,Life Sciences,4.0,Male,44.0,2.0,3.0,Manufacturing Director,3.0,Single,9526.0,8787.0,0.0,Y,No,21.0,4.0,2.0,80.0,0,10.0,,3.0,9.0,7.0,1.0,8.0,612.1354963022628,15.0,
9,No,36.0,Travel_Rarely,1299.0,Research & Development,27.0,3,Medical,3.0,Male,94.0,3.0,2.0,Healthcare Representative,3.0,Married,5237.0,16577.0,6.0,Y,No,13.0,3.0,2.0,80.0,2,17.0,3.0,2.0,7.0,7.0,7.0,7.0,1340.5981150022544,15.0,
